Smiles,Standard Type,Standard Value,Standard Units
O=C(Nc1ccc(Cl)cc1)OCc1cncs1,Potency,11220.2,nM
Cc1cc([N+](=O)[O-])ccc1NC(=O)/C=C/c1cccs1,Potency,5623.4,nM
CC(C)(C)c1nnc(SCC(=O)Nc2ccc(N3CCCCC3)cc2)n1N,Potency,3981.1,nM
CCCCc1ccc(Nc2[nH]cnc3ncnc2-3)cc1,Potency,4466.8,nM
COc1ccc(O)c(C(=O)CC(=O)c2ccncc2)c1,Potency,5623.4,nM
O=C(NC1CCCCC1)c1ccc(-c2ccccc2)cc1,Potency,2238.7,nM
COc1ccccc1N1CCN(/N=C/C=C\c2ccco2)CC1,Potency,2818.4,nM
O=C1c2ccccc2-c2onc3ccc(NCCCn4ccnc4)c1c23,Potency,794.3,nM
COc1ccc2noc3c2c1C(=O)c1ccccc1-3,Potency,3162.3,nM
CN(N=O)c1ccc(O)c(O)c1,Potency,10000.0,nM
CC(=O)[C@@]1(O)Cc2c(O)c3c(c(O)c2[C@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,Potency,12589.3,nM
O=C(O)CN(CC(=O)O)Cc1cc2c(-c3ccccc3C(=O)O)c3cc(CN(CC(=O)O)CC(=O)O)c(=O)cc-3oc2cc1O,Potency,125.9,nM
COc1ccc2ccccc2c1C(O)c1nccn1C,Potency,12589.3,nM
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,Potency,7943.3,nM
CCOc1ccc2noc3c2c1C(=O)c1ccccc1-3,Potency,3981.1,nM
Cn1c(-c2nc(-c3ccccc3)cs2)nc2ccccc21,Potency,39810.7,nM
O=C(c1cc(-c2ccc(Cl)c(Cl)c2)on1)N1CCOCC1,Potency,1258.9,nM
O=C(CCc1ccccc1)n1nc(-c2ccco2)nc1SCc1ccccc1,Potency,10000.0,nM
Cc1cccc2nc(CSc3ccc(Cl)cc3)cn12,Potency,4466.8,nM
CC(C)Oc1ccc(C(=O)NC2CCCCC2)cc1,Potency,4466.8,nM
CCCOc1ccc(-c2n[nH]c(S)n2)cc1,Potency,3548.1,nM
CC1CCCCN1C(=O)c1cc(-c2ccc(Cl)c(Cl)c2)on1,Potency,5623.4,nM
Cc1ccc(Cc2nc(-c3cccc(C)c3)no2)cc1,Potency,7943.3,nM
Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O,Potency,10000.0,nM
Cn1c(CCNC(=O)c2ccco2)nc2cc(NC(=O)c3ccco3)ccc21,Potency,8912.5,nM
COc1ccccc1N1CCN(/N=C/C(Cl)=C/c2ccccc2)CC1,Potency,3981.1,nM
CCc1ccc(NC(=O)c2ccc3nc(N)sc3c2)cc1,Potency,11220.2,nM
C#CCNC(=O)/C=C/c1ccc(C)cc1,Potency,11220.2,nM
CC(C)Oc1cccc(C(=O)NC(=S)Nc2ccccc2)c1,Potency,12589.3,nM
CC(C)C(=O)Nc1ccc(-c2csc(-c3ccccc3)n2)cc1,Potency,5011.9,nM
CN(C)c1ccc(/C=C2\C=Cc3ccccc32)cc1,Potency,3548.1,nM
N#CCCN1CCN(C(=S)c2ccc(-c3cccc(Cl)c3)o2)CC1,Potency,10000.0,nM
O=C(Nc1ccc(NC(=O)C2CC2)cc1)c1cccs1,Potency,10000.0,nM
CCc1ccc(C(=O)Cc2cc3cccc(OC)c3oc2=O)cc1,Potency,11220.2,nM
Cc1cc(C(=N)NOC(=O)c2ccc(Cl)cc2)no1,Potency,7943.3,nM
CC(=O)c1cccc(OCc2cc(C(=O)NCCC3=CCCCC3)no2)c1,Potency,3162.3,nM
C#CCCc1cscc1/C=[N+](\[O-])c1ccc(C(=O)OCC)cc1,Potency,6309.6,nM
CCOc1ccc(/C=C2\CCC(C3CCCC3)C2=O)cc1,Potency,3981.1,nM
COc1ccc(C(C)NC(=O)Nc2ccc(C(C)=O)cc2)cc1OC,Potency,11220.2,nM
Cc1ccc(C(=O)N2CCc3ccccc32)cc1,Potency,11220.2,nM
Fc1ccccc1COc1ccc(/C=N/n2cnnc2)cc1,Potency,10000.0,nM
Cc1cc(C(=O)CSc2ccc3c(c2)OCCO3)c(C)n1C1CC1,Potency,11220.2,nM
CC(C)(C)C(=O)N1CCN(c2nc3ccccc3s2)CC1,Potency,3162.3,nM
Cn1c(SCc2ccccc2)nnc1-c1c[nH]c2ccccc12,Potency,11220.2,nM
O=[N+]([O-])c1cc(/C=N/N2CCCCC2)ccc1Cl,Potency,11220.2,nM
NC(=O)C1CCN(c2nc(-c3cccc(Cl)c3)cs2)CC1.O=C(O)C(F)(F)F,Potency,3981.1,nM
COc1ccc(CC(=O)c2ccc(OC3OC(CO)C(O)C(O)C3O)cc2O)cc1,Potency,11220.2,nM
Cc1cc(C(=O)NCCc2ccccc2)ccc1[N+](=O)[O-],Potency,6309.6,nM
COc1ccc(OC)c(S(=O)(=O)N/N=C\c2ccc3c(c2)OCO3)c1,Potency,12589.3,nM
CCCC(=O)N(CCN1CCOCC1)c1nc2cc(C)c(C)cc2s1.Cl,Potency,3981.1,nM
C(/C=C/c1ccco1)=N/N1CCN(c2ccccc2)CC1,Potency,10000.0,nM
O=C(/C=C(\O)c1ccccc1)C(=O)NNC(=O)c1ccccc1,Potency,12589.3,nM
Nc1ccc2c(c1)C=C/C2=C\c1ccccc1,Potency,3981.1,nM
CC(C)C(=O)N1CCN(c2nc3ccc(Cl)cc3s2)CC1,Potency,5011.9,nM
CCCOc1ccc(-c2nnc(N)s2)cc1,Potency,4466.8,nM
COc1cccc(-c2nc(-c3ccc4c(c3)NC(=O)CO4)cs2)c1,Potency,10000.0,nM
COc1cccc(NC(=O)Nc2ccc(Br)cn2)c1,Potency,11220.2,nM
CCCCC(=O)Nc1ccc(C2C(=O)c3ccccc3C2=O)cc1,Potency,3981.1,nM
Clc1ccc(-c2noc(CN3CCOCC3)n2)cc1,Potency,7943.3,nM
