Smiles,Standard Type,Standard Value,Standard Units,Molecule ChEMBL ID
O=C(Nc1ccc(Cl)cc1)OCc1cncs1,Potency,11220.2,nM,CHEMBL1547005
Cc1cc([N+](=O)[O-])ccc1NC(=O)/C=C/c1cccs1,Potency,5623.4,nM,CHEMBL1536914
CC(C)(C)c1nnc(SCC(=O)Nc2ccc(N3CCCCC3)cc2)n1N,Potency,3981.1,nM,CHEMBL1531115
CCCCc1ccc(Nc2[nH]cnc3ncnc2-3)cc1,Potency,4466.8,nM,CHEMBL1413541
COc1ccc(O)c(C(=O)CC(=O)c2ccncc2)c1,Potency,5623.4,nM,CHEMBL1699938
O=C(NC1CCCCC1)c1ccc(-c2ccccc2)cc1,Potency,2238.7,nM,CHEMBL1709506
COc1ccccc1N1CCN(/N=C/C=C\c2ccco2)CC1,Potency,2818.4,nM,CHEMBL3197262
O=C1c2ccccc2-c2onc3ccc(NCCCn4ccnc4)c1c23,Potency,794.3,nM,CHEMBL1379677
COc1ccc2noc3c2c1C(=O)c1ccccc1-3,Potency,3162.3,nM,CHEMBL1527008
CN(N=O)c1ccc(O)c(O)c1,Potency,10000.0,nM,CHEMBL1256623
CC(=O)[C@@]1(O)Cc2c(O)c3c(c(O)c2[C@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,Potency,12589.3,nM,CHEMBL1515691
O=C(O)CN(CC(=O)O)Cc1cc2c(-c3ccccc3C(=O)O)c3cc(CN(CC(=O)O)CC(=O)O)c(=O)cc-3oc2cc1O,Potency,125.9,nM,CHEMBL1606751
COc1ccc2ccccc2c1C(O)c1nccn1C,Potency,12589.3,nM,CHEMBL1345866
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,Potency,7943.3,nM,CHEMBL1534
CCOc1ccc2noc3c2c1C(=O)c1ccccc1-3,Potency,3981.1,nM,CHEMBL1412077
Cn1c(-c2nc(-c3ccccc3)cs2)nc2ccccc21,Potency,39810.7,nM,CHEMBL1395497
O=C(c1cc(-c2ccc(Cl)c(Cl)c2)on1)N1CCOCC1,Potency,1258.9,nM,CHEMBL1518692
